Input_current(A)	Hall_probe_potential(mV)	error_probe	V5_(mV)	error_V5	V6_(mV)	error_V6	R_=_V/I_(ohm)	B_(mT)
1.7	25.955	0.007	66.50122222	0.052133909	97.35366667	0.030170626	66.50122222	58.8021295
3.4	52.15566667	2.143003175	66.778875	0.027315289	97.31942857	0.032423536	66.778875	108.4497728
5.1	77.48114286	1.149097228	67.139125	0.040551334	97.481625	0.021817015	67.139125	156.4390176
6.8	105.7075385	1.39683169	67.564	0.045995169	97.776	0.060249481	67.564	209.9252146
8.5	130.7166667	1.163719221	68.114	0.061035509	98.214	0.038245618	68.114	257.3150117
10.2	159.5	3.554766327	68.65	0.054772256	98.721	0.044350874	68.65	311.85655
11.9	187.3666667	1.383232928	69.2708	0.071006729	99.36375	0.05289815	69.2708	364.6610967
13.6	213.25	4.494946658	69.81666667	0.075277265	99.95166667	0.056715665	69.81666667	413.707425
15.3	238.9166667	4.399552319	70.51766667	0.06741711	100.6045455	0.070484557	70.51766667	462.3431917
17	266.4166667	6.459078647	71.14154545	0.085675392	101.354	0.087284592	71.14154545	514.4529417
